field1,GEOID,STATE,PLACENS,BLKGRP,BLOCK,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,GEOID10,field1:1,GEOID10:1,BLOCKCE10,INTPTLAT10,INTPTLON10
20954,4.82015E+14,48,2410796,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,822543,4.82015E+14,1002,29.7601685,-95.5649759
20955,4.82015E+14,48,2410796,1,1003,126,9,117,114,111,0,0,2,0,1,3,183,20,163,160,154,0,0,5,0,1,3,4.82015E+14,800177,4.82015E+14,1003,29.7590932,-95.564352
20956,4.82015E+14,48,2410796,1,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,537486,4.82015E+14,1004,29.7619193,-95.5639223
20957,4.82015E+14,48,2410796,1,1005,38,1,37,34,24,3,2,5,0,0,3,56,8,48,45,34,4,2,5,0,0,3,4.82015E+14,2858,4.82015E+14,1005,29.7619027,-95.5685317
20958,4.82015E+14,48,2410796,1,1006,94,16,78,72,33,28,0,6,0,5,6,126,21,105,92,43,38,0,6,0,5,13,4.82015E+14,2875,4.82015E+14,1006,29.7640333,-95.5731712
20959,4.82015E+14,48,2410796,1,1007,60,9,51,50,31,0,0,19,0,0,1,87,14,73,68,40,3,0,25,0,0,5,4.82015E+14,899577,4.82015E+14,1007,29.7655417,-95.5755651
20960,4.82015E+14,48,2410796,2,2000,805,176,629,609,186,379,2,33,0,9,20,1040,231,809,781,205,523,2,42,0,9,28,4.82015E+14,626081,4.82015E+14,2000,29.7593423,-95.5736534
20961,4.82015E+14,48,2410796,2,2001,70,17,53,49,41,7,0,1,0,0,4,84,22,62,55,46,7,0,1,1,0,7,4.82015E+14,89909,4.82015E+14,2001,29.7594362,-95.5755621
20992,4.82015E+14,48,2410796,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,193992,4.82015E+14,1000,29.744555,-95.5580967
20993,4.82015E+14,48,2410796,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,143172,4.82015E+14,1001,29.7406051,-95.5602565
20994,4.82015E+14,48,2410796,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,407875,4.82015E+14,1002,29.7430958,-95.5600054
20995,4.82015E+14,48,2410796,1,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82015E+14,908019,4.82015E+14,1003,29.7415838,-95.560314
20996,4.82015E+14,48,2410796,1,1004,108,28,80,77,32,21,0,24,0,0,3,118,29,89,85,37,23,0,25,0,0,4,4.82015E+14,898521,4.82015E+14,1004,29.7461313,-95.5596323
20997,4.82015E+14,48,2410796,1,1005,65,15,50,45,43,0,0,0,0,2,5,82,16,66,59,54,0,0,3,0,2,7,4.82015E+14,656297,4.82015E+14,1005,29.7473305,-95.5602868
20998,4.82015E+14,48,2410796,1,1006,50,10,40,40,40,0,0,0,0,0,0,65,10,55,54,52,2,0,0,0,0,1,4.82015E+14,755107,4.82015E+14,1006,29.7470274,-95.5626515
